t,Position q,Velocity,Potential V
1.941941941941942,0.7674280206869742,-0.37541174925442106,0.29447288346776346
1.951951951951952,0.7636351612545806,-0.38239284492075604,0.2915693297521547
1.961961961961962,0.7597726838597414,-0.3893213184016838,0.2886272655697173
1.971971971971972,0.7558411182356289,-0.3961965744713834,0.285647898007843
1.981981981981982,0.7518410000407842,-0.40301802447477664,0.2826324446711633
1.991991991991992,0.747772870793112,-0.4097850863739003,0.27958213314708613
2.002002002002002,0.7436372778034126,-0.4164971847935155,0.2764982004694349
2.012012012012012,0.7394347741084645,-0.42315375106595277,0.27338189258041795
2.022022022022022,0.7351659184036594,-0.4297542232751902,0.270234463791148
2.032032032032032,0.7308312749752014,-0.4362980463001589,0.2670571762409392
2.042042042042042,0.7264314136318749,-0.44278467185727666,0.2638512993556021
2.052052052052052,0.7219669096363931,-0.44921355854220435,0.2606181093049619
2.062062062062062,0.7174383436363297,-0.45558417187082345,0.2573588884598202
2.0720720720720722,0.7128463015946461,-0.4618959843194323,0.2540749248485826
2.0820820820820822,0.7081913747198196,-0.46814847536415755,0.250767511613774
2.0920920920920922,0.7034741593955812,-0.47434113151958035,0.2474379464686598
2.1021021021021022,0.6986952571102703,-0.4804734463765722,0.24408753115419332
2.1121121121121122,0.6938552743858152,-0.48654492063934096,0.24071757089650744
2.1221221221221223,0.688954822706346,-0.49255506216168277,0.23732937386516634
2.1321321321321323,0.6839945184464497,-0.4985033859824389,0.23392425063239528
2.1421421421421423,0.6789749827990726,-0.5043894143601558,0.2305035136335005
2.1521521521521523,0.6738968417030825,-0.510212676806945,0.22706847662869473
2.1621621621621623,0.6687607257704924,-0.515972710121543,0.22362045416653786
2.1721721721721723,0.6635672702133606,-0.5216690584215666,0.22016076104920557
2.1821821821821823,0.6583171147703698,-0.5273012731749663,0.21669071179979213
2.1921921921921923,0.6530109036330968,-0.5328689132306716,0.2132116201318568
2.2022022022022023,0.6476492853719777,-0.5383715448484296,0.20972479842141672
2.2122122122122123,0.6422329128619814,-0.5438087417278348,0.20623155718159267
2.2222222222222223,0.6367624432079924,-0.5491800850365478,0.20273320454010585
2.2322322322322323,0.6312385376699193,-0.5544851634377044,0.19923104571982908
2.2422422422422423,0.6256618615875309,-0.55972357311651,0.19572638252258734
2.2522522522522523,0.62003308430503,-0.5648949178060212,0.19222051281640423
2.2622622622622623,0.614352879095374,-0.5699988088121137,0.18871473002638758
2.2722722722722724,0.608621923084349,-0.5750348650376323,0.18521032262944565
2.2822822822822824,0.6028408971744075,-0.580002713005727,0.18170857365302226
2.2922922922922924,0.5970104859682749,-0.5849019868823713,0.17821076017803786
2.3023023023023024,0.5911313776923351,-0.5897323284980609,0.17471815284621908
2.3123123123123124,0.5852042641198048,-0.5944933873686973,0.1712320153720011
2.3223223223223224,0.5792298404936999,-0.5991848207156502,0.1677536040591785
2.3323323323323324,0.5732088054496074,-0.6038062934850016,0.16428416732248294
2.3423423423423424,0.567141860938268,-0.6083574783659709,0.16082494521426086
2.3523523523523524,0.5610297121479786,-0.6128380558085189,0.15737716895642187
2.3623623623623624,0.5548730674268219,-0.6172477140401341,0.1539420604778252
2.3723723723723724,0.5486726382047334,-0.6215861490817969,0.15052083195727117
2.3823823823823824,0.5424291389154116,-0.6258530647631249,0.14711468537225741
2.3923923923923924,0.5361432869180809,-0.6300481727366999,0.1437248120536618
2.4024024024024024,0.5298158024191157,-0.6341711924915725,0.14035239224650575
2.4124124124124124,0.5234474083935333,-0.6382218513659492,0.13699859467695322
2.4224224224224224,0.5170388305063629,-0.642199884559061,0.13366457612569374
2.4324324324324325,0.5105907970339014,-0.6461050351422116,0.13035148100785734
2.4424424424424425,0.5041040387848619,-0.64993705406901,0.12706044095960475
2.4524524524524525,0.4975792890214234,-0.6536957001847836,0.1237925744315326
2.4624624624624625,0.49101728338019157,-0.6573807402351762,0.12054898628903167
2.4724724724724725,0.4844187597930765,-0.6609919488739291,0.11733076741973118
2.4824824824824825,0.4777844584080972,-0.6645291086698474,0.11413899434815937
2.4924924924924925,0.47111512151011997,-0.6679920101129522,0.11097472885774755
2.5025025025025025,0.4644114934415402,-0.6713804516198206,0.10783901762030088
2.5125125125125125,0.4576743205229133,-0.674694239538111,0.10473289183305519
